HolidayDate,HolidayName,Applicability,CountryCode,SourceURL
2026-01-01,New Year's Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-01-02,Additional special holiday,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-03-03,Makha Bucha Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-04-06,Chakri Memorial Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-04-13,Songkran Festival,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-04-14,Songkran Festival,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-04-15,Songkran Festival,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-05-01,National Labor Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-05-04,Coronation Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-06-01,Substitution for Visakha Bucha Day (Sunday 31st May 2026),Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-06-03,H.M. Queen Suthida Bajrasudhabimalalakshana's Birthday,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-07-28,H.M. King Maha Vajiralongkorn Phra Vajiraklaochaoyuhua's Birthday,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-07-29,Asarnha Bucha Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-08-12,H.M. Queen Sirikit the Queen Mother's Birthday and Mother's Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-10-13,H.M. King Bhumibol Adulyadej the Great Memorial Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-10-16,Additional special holiday in Bangkok,Bangkok,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-10-23,H.M. King Chulalongkorn the Great Memorial Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-12-07,"Substitution for H.M. King Bhumibol Adulyadej the Great's Birthday, National Day and Father's Day (Saturday 5th December 2026)",Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-12-10,Constitution Day,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
2026-12-31,New Year's Eve,Nationwide,TH,https://www.bot.or.th/en/financial-institutions-holiday.html
