Date,Time,Product,Channel,Channel_Group,Transaction_Type,Credit_Amount,Debit_Amount,Net_Amount,Credit_Txn,Debit_Txn,Total_Txn
2026-09-17,07:00-07:30,Fixed,ATM,Offline,On-Us,424020522,435077139,-11056617,1069,2433,3502
2026-09-17,07:00-07:30,Fixed,ATM,Offline,Off-Us,221714768,238357678,-16642910,4925,4711,9636
2026-09-17,07:00-07:30,Fixed,BCMS,Online,On-Us,469328612,481624375,-12295763,1589,4244,5833
2026-09-17,07:00-07:30,Fixed,BCMS,Online,Off-Us,779826582,796169355,-16342773,4075,1435,5510
2026-09-17,07:00-07:30,Fixed,ENET,Online,On-Us,738867683,760826179,-21958496,3303,4082,7385
2026-09-17,07:00-07:30,Fixed,ENET,Online,Off-Us,342976861,363987344,-21010483,1485,1456,2941
2026-09-17,07:00-07:30,Fixed,TELL,Offline,On-Us,203010485,224727409,-21716924,1032,2809,3841
2026-09-17,07:00-07:30,Fixed,TELL,Offline,Off-Us,507026495,517974426,-10947931,1118,1207,2325
2026-09-17,07:00-07:30,Saving,ATM,Offline,On-Us,709774540,721514208,-11739668,845,2488,3333
2026-09-17,07:00-07:30,Saving,ATM,Offline,Off-Us,202067384,213240851,-11173467,857,3334,4191
2026-09-17,07:00-07:30,Saving,BCMS,Online,On-Us,299996920,321385517,-21388597,2412,4429,6841
2026-09-17,07:00-07:30,Saving,BCMS,Online,Off-Us,778466967,798545006,-20078039,4329,4834,9163
2026-09-17,07:00-07:30,Saving,ENET,Online,On-Us,259148835,279349769,-20200934,3679,2260,5939
2026-09-17,07:00-07:30,Saving,ENET,Online,Off-Us,688529180,699742610,-11213430,2805,1167,3972
2026-09-17,07:00-07:30,Saving,TELL,Offline,On-Us,249028357,267111390,-18083033,1932,4229,6161
2026-09-17,07:00-07:30,Saving,TELL,Offline,Off-Us,464237714,486402849,-22165135,4987,1566,6553
2026-09-17,07:00-07:30,Current,ATM,Offline,On-Us,669409820,689007323,-19597503,4480,4687,9167
2026-09-17,07:00-07:30,Current,ATM,Offline,Off-Us,212217868,224738113,-12520245,3578,4886,8464
2026-09-17,07:00-07:30,Current,BCMS,Online,On-Us,562130769,584273533,-22142764,2219,2188,4407
2026-09-17,07:00-07:30,Current,BCMS,Online,Off-Us,322268657,336109487,-13840830,4964,1353,6317
2026-09-17,07:00-07:30,Current,ENET,Online,On-Us,640842719,663507065,-22664346,2358,2410,4768
2026-09-17,07:00-07:30,Current,ENET,Online,Off-Us,494769049,507984074,-13215025,1855,4786,6641
2026-09-17,07:00-07:30,Current,TELL,Offline,On-Us,610564298,624435296,-13870998,1625,4995,6620
2026-09-17,07:00-07:30,Current,TELL,Offline,Off-Us,451701145,465835233,-14134088,3813,1782,5595
